کد بررسی,دمای هوای اطراف ماشین (کلوین),دمای فرآیند (کلوین),سرعت چرخش اجزای ماشین (دور در دقیقه),گشتاور ماشین (نیوتون متر),مدت زمان سایش ابزار (دقیقه),وضعیت خرابی,نوع خرابی
36,298.8,309.2,1452,48.6,98,0,No Failure
37,298.9,309.2,1581,36.7,101,0,No Failure
38,298.8,309.1,1439,39.2,104,0,No Failure
39,298.9,309.2,1379,50.7,106,0,No Failure
40,298.8,309.1,1350,52.5,111,0,No Failure
41,298.8,309.1,1362,45.4,113,0,No Failure
42,298.8,309.1,1368,50.8,115,0,No Failure
43,298.8,309.1,1368,49.1,117,0,No Failure
44,298.8,309.2,1372,48.5,120,0,No Failure
45,298.8,309.1,1472,47.5,125,0,No Failure
46,298.8,309.1,1489,49.1,128,0,No Failure
47,298.7,309,1843,25.8,130,0,No Failure
48,298.8,309.1,1418,46.3,133,0,No Failure
49,298.8,309.2,1425,53.9,135,0,No Failure
50,298.9,309.2,1412,44.1,140,0,No Failure
51,298.9,309.1,2861,4.6,143,1,Power Failure
52,298.9,309.1,1383,54.9,145,0,No Failure
53,298.8,309,1497,43.8,147,0,No Failure
54,298.7,309,1565,35.1,152,0,No Failure
55,298.7,309,1691,30.1,154,0,No Failure
56,298.8,309.1,1512,40.7,156,0,No Failure
57,298.8,309.1,1477,42.4,158,0,No Failure
58,298.8,309.1,1513,40.3,160,0,No Failure
59,298.8,309,1661,29.5,162,0,No Failure
60,298.8,309.1,1378,54.4,165,0,No Failure
61,298.8,309.1,1393,52.6,167,0,No Failure
62,298.8,309,1592,38.2,169,0,No Failure
63,298.8,309,1829,22.9,172,0,No Failure
64,298.9,309,1812,25.9,174,0,No Failure
65,299,309.1,1523,38.6,177,0,No Failure
66,299,309.1,1394,45.1,179,0,No Failure
67,298.9,308.9,1679,28.7,181,0,No Failure
68,298.8,308.9,1466,44.1,184,0,No Failure
69,298.8,308.9,1527,32.4,189,0,No Failure
70,298.9,309,1410,65.7,191,1,Power Failure
71,298.9,309,1924,22.6,193,0,No Failure
72,298.9,309.1,1452,45.5,196,0,No Failure
73,298.9,309.1,1369,44.4,198,0,No Failure
74,299,309.1,1592,35,200,0,No Failure
75,298.9,309,1601,32.3,202,0,No Failure
76,298.8,308.9,1379,46.7,204,0,No Failure
77,298.8,308.9,1461,47.9,206,0,No Failure
78,298.8,308.9,1455,41.3,208,1,Tool Wear Failure
79,298.8,308.9,1398,51.5,0,0,No Failure
80,298.8,308.9,1402,37.9,2,0,No Failure
81,298.8,308.8,1445,49.9,4,0,No Failure
82,298.9,308.9,1450,47.5,9,0,No Failure
83,298.9,308.9,1453,40.8,11,0,No Failure
84,299,309,1469,40.1,13,0,No Failure
85,298.9,308.9,1422,47.6,15,0,No Failure
86,299,309,1804,26.8,17,0,No Failure
87,299,309,1436,43.9,20,0,No Failure
88,299,309,1544,31.8,25,0,No Failure
89,299,309,1419,45.2,27,0,No Failure
90,298.9,308.9,1487,39.5,30,0,No Failure
91,298.9,308.9,1753,25.8,33,0,No Failure
92,298.9,308.9,1830,24.9,35,0,No Failure
93,298.9,308.9,1727,27.1,37,0,No Failure
94,299.1,309,1450,43,40,0,No Failure
95,299,308.9,1622,31.9,42,0,No Failure
96,299,309,1351,52.2,44,0,No Failure
97,299,309,1575,35.3,47,0,No Failure
98,298.9,308.9,1750,29.9,50,0,No Failure
99,298.9,308.8,1529,32.7,53,0,No Failure
100,298.8,308.8,1523,44.4,55,0,No Failure
101,298.8,308.9,1852,25,57,0,No Failure
102,298.8,308.8,1991,20.7,59,0,No Failure
103,298.8,308.8,1555,40.6,61,0,No Failure
104,298.8,308.8,1441,40.5,63,0,No Failure
105,298.8,308.7,1450,43.4,66,0,No Failure
106,298.8,308.7,1591,31.1,68,0,No Failure
107,298.8,308.7,1445,48.5,70,0,No Failure
108,298.8,308.8,1497,46.8,72,0,No Failure
109,298.9,308.8,1621,32.7,75,0,No Failure
110,298.9,308.7,1572,34.1,80,0,No Failure
111,298.8,308.6,1872,22.5,82,0,No Failure
112,298.7,308.6,1499,43.5,84,0,No Failure
113,298.8,308.7,1498,39.5,89,0,No Failure
114,298.8,308.6,1486,41.9,92,0,No Failure
115,298.8,308.6,1680,29.4,95,0,No Failure
116,298.8,308.6,1431,45.7,97,0,No Failure
117,298.9,308.7,1564,34.1,99,0,No Failure
118,298.8,308.6,1599,33,101,0,No Failure
119,298.8,308.6,1707,28.1,103,0,No Failure
120,298.7,308.5,1467,40.7,106,0,No Failure
121,298.9,308.7,1433,44.7,108,0,No Failure
122,298.9,308.7,1558,41.2,110,0,No Failure
123,299,308.8,1310,50.7,112,0,No Failure
124,298.9,308.7,1546,43.4,114,0,No Failure
125,298.9,308.7,1727,29.4,116,0,No Failure
126,298.9,308.6,1560,32.2,118,0,No Failure
127,299,308.6,1329,60.5,120,0,No Failure
128,298.9,308.6,1413,46.5,122,0,No Failure
129,299,308.6,1587,38.6,124,0,No Failure
130,298.9,308.5,1559,34.3,126,0,No Failure
131,298.8,308.4,1473,41.1,128,0,No Failure
132,298.8,308.4,1737,27.7,130,0,No Failure
133,298.7,308.4,1441,43.2,132,0,No Failure
134,298.7,308.4,1430,49.6,135,0,No Failure
135,298.8,308.4,1369,53,138,0,No Failure
136,298.8,308.5,1711,28.5,140,0,No Failure
137,298.7,308.5,1420,45.7,143,0,No Failure
138,298.7,308.6,1297,55.3,148,0,No Failure
139,298.8,308.6,1449,49.4,150,0,No Failure
140,298.8,308.6,1268,55.8,155,0,No Failure
141,298.8,308.6,1511,36.1,157,0,No Failure
142,298.7,308.5,1544,35.2,159,0,No Failure
143,298.6,308.4,1778,28.2,161,0,No Failure
144,298.6,308.4,1407,50.5,164,0,No Failure
145,298.6,308.4,1391,42.4,169,0,No Failure
146,298.5,308.4,1513,33.6,172,0,No Failure
147,298.5,308.4,1612,36.1,174,0,No Failure
148,298.4,308.4,1515,40.1,179,0,No Failure
149,298.3,308.3,1379,48,181,0,No Failure
150,298.4,308.3,1473,39.9,184,0,No Failure
151,298.4,308.3,1422,42.7,186,0,No Failure
152,298.4,308.2,1463,37.6,188,0,No Failure
153,298.4,308.2,1584,41,191,0,No Failure
154,298.4,308.2,1850,27,194,0,No Failure
155,298.4,308.2,1528,36.2,196,0,No Failure
156,298.4,308.2,1987,19.8,198,0,No Failure
157,298.4,308.1,1495,46,203,0,No Failure
158,298.4,308.2,1478,43.5,206,0,No Failure
159,298.4,308.2,1499,40,211,0,No Failure
160,298.4,308.2,1471,47,214,0,No Failure
161,298.4,308.2,1282,60.7,216,1,Overstrain Failure
162,298.3,308.1,1412,52.3,218,1,Overstrain Failure
163,298.3,308.1,1586,35.5,0,0,No Failure
164,298.4,308.2,1468,43.8,2,0,No Failure
165,298.5,308.3,1440,43.6,5,0,No Failure
166,298.5,308.4,1733,26,8,0,No Failure
167,298.4,308.2,1612,32.6,10,0,No Failure
168,298.4,308.3,1458,42.9,15,0,No Failure
169,298.4,308.3,1433,62.3,20,1,Power Failure
170,298.4,308.3,1318,59.1,22,0,No Failure
171,298.4,308.2,1610,35,24,0,No Failure
172,298.2,308.1,1462,50.8,27,0,No Failure
173,298.1,308,1924,20.8,29,0,No Failure
174,298.2,308,1591,33.7,32,0,No Failure
175,298.2,308.1,1306,58.3,35,0,No Failure
176,298.2,308.1,1382,43.5,37,0,No Failure
177,298.2,308.1,1618,34.7,39,0,No Failure
178,298.2,308.2,1988,21.4,41,0,No Failure
179,298.2,308.2,1436,50.2,43,0,No Failure
180,298.2,308.3,1304,49.8,45,0,No Failure
181,298.2,308.3,1475,49.9,47,0,No Failure
182,298.2,308.3,1824,24.2,49,0,No Failure
183,298.1,308.2,1342,48.1,54,0,No Failure
184,298.1,308.2,1485,40.7,57,0,No Failure
185,298.2,308.2,1667,30.6,59,0,No Failure
186,298.2,308.2,1446,38.2,61,0,No Failure
187,298.1,308.3,1301,56,63,0,No Failure
188,298.2,308.4,1379,43.1,65,0,No Failure
189,298.3,308.5,1606,33.6,67,0,No Failure
190,298.3,308.4,1539,43.4,69,0,No Failure
191,298.2,308.4,1477,49.9,72,0,No Failure
192,298.2,308.4,1666,34.6,74,0,No Failure
193,298.2,308.4,1398,51.8,76,0,No Failure
194,298.2,308.4,1678,34.6,81,0,No Failure
195,298.2,308.5,2678,10.7,86,1,Power Failure
196,298.3,308.5,1453,42.9,89,0,No Failure
197,298.3,308.6,1432,49.5,91,0,No Failure
198,298.4,308.6,1527,40.9,96,0,No Failure
199,298.4,308.7,1588,35,99,0,No Failure
200,298.4,308.6,1433,47.1,101,0,No Failure
201,298.4,308.6,1609,35,103,0,No Failure
202,298.3,308.5,1575,41.2,105,0,No Failure
203,298.4,308.5,1636,35.7,107,0,No Failure
204,298.4,308.5,1490,37.9,110,0,No Failure
205,298.4,308.5,1741,32.8,112,0,No Failure
206,298.5,308.6,1344,53,114,0,No Failure
207,298.5,308.7,1609,35.3,117,0,No Failure
208,298.4,308.7,1421,60.7,119,1,Power Failure
209,298.4,308.6,1591,36.7,122,0,No Failure
210,298.4,308.6,1477,44,124,0,No Failure
211,298.4,308.7,1523,36.1,126,0,No Failure
212,298.5,308.7,1575,33.9,128,0,No Failure
213,298.4,308.7,1344,52.9,130,0,No Failure
214,298.4,308.7,1386,44.9,135,0,No Failure
215,298.3,308.6,1589,37.1,137,0,No Failure
216,298.3,308.6,1548,40.3,140,0,No Failure
217,298.3,308.6,1499,38.3,142,0,No Failure
218,298.3,308.5,1664,31.6,144,0,No Failure
219,298.3,308.6,1447,38.1,146,0,No Failure
220,298.3,308.5,1434,46.2,148,0,No Failure
221,298.3,308.5,1416,52.7,151,0,No Failure
222,298.4,308.5,1827,24.3,153,0,No Failure
223,298.4,308.6,1304,45,158,0,No Failure
224,298.4,308.6,1569,34.4,160,0,No Failure
225,298.3,308.6,1584,29.3,162,0,No Failure
226,298.3,308.5,1362,53.8,164,0,No Failure
227,298.3,308.4,1329,49.2,166,0,No Failure
228,298.3,308.5,1539,36.1,168,0,No Failure
229,298.3,308.5,1629,37.1,170,0,No Failure
230,298.3,308.5,1538,32.2,173,0,No Failure
231,298.3,308.6,1570,34.8,175,0,No Failure
232,298.3,308.4,1408,43.1,177,0,No Failure
233,298.2,308.4,1424,47.6,179,0,No Failure
234,298.2,308.4,1512,34.9,181,0,No Failure
235,298.2,308.4,1478,42.9,183,0,No Failure
236,298.1,308.3,1680,33.7,185,0,No Failure
237,298.1,308.3,1495,38.7,188,0,No Failure
238,298,308.1,1552,36.6,190,0,No Failure
239,297.9,308.1,1393,50.3,193,0,No Failure
240,298,308.2,1611,30.6,195,0,No Failure
241,298,308.1,1339,51.6,197,0,No Failure
242,298,308.1,1777,24.3,200,0,No Failure
243,298,308.2,1348,58.8,202,1,Overstrain Failure
244,298,308.2,1442,44.1,204,0,No Failure
245,298,308.2,1395,49.1,206,0,No Failure
246,297.9,308.1,1627,31.4,209,0,No Failure
247,297.9,308.1,1585,33.5,212,0,No Failure
248,298,308.2,1469,45.5,214,0,No Failure
249,298,308.3,1362,56.8,216,1,Overstrain Failure
250,298,308.3,1405,56.2,218,1,Overstrain Failure
251,298,308.3,1662,32.7,0,0,No Failure
252,298,308.2,1466,42.6,2,0,No Failure
253,298,308.2,1620,35.8,5,0,No Failure
254,298,308.2,1357,48.2,7,0,No Failure
255,298,308.2,1514,37.9,9,0,No Failure
256,298,308.2,1489,40.4,11,0,No Failure
257,298.1,308.3,1331,63,13,0,No Failure
258,298,308,1615,29.5,15,0,No Failure
259,298.1,308.2,1482,37.9,17,0,No Failure
260,298.1,308.2,1420,63.9,19,1,Power Failure
261,298.2,308.3,1522,49.1,22,0,No Failure
262,298.1,308.2,1654,32.1,25,0,No Failure
263,298.1,308.2,1736,26.8,27,0,No Failure
264,298,308.1,1587,32.3,30,0,No Failure
265,298.1,308.2,1390,47.5,33,0,No Failure
266,298,308.1,1454,37.1,35,0,No Failure
267,298,308.1,1440,43.7,37,0,No Failure
268,297.9,308,1954,21.1,42,0,No Failure
269,297.9,308,1800,24.8,44,0,No Failure
270,298,308,1524,37,49,0,No Failure
271,298,308,1520,39.6,51,0,No Failure
272,298.1,308.1,1452,40.8,56,0,No Failure
273,298.1,308.1,1484,40.4,59,0,No Failure
274,298.1,308,1426,46,61,0,No Failure
275,298.1,308,1652,28.5,63,0,No Failure
276,298,308,1401,54.7,65,0,No Failure
277,298,307.9,1750,26.6,67,0,No Failure
278,298,308,1479,50.7,70,0,No Failure
279,298,308,1620,29.4,75,0,No Failure
280,298,308.1,1819,23.4,78,0,No Failure
281,298.1,308.1,1456,43.7,80,0,No Failure
282,298.1,308,1626,36.5,83,0,No Failure
283,298.1,308.1,1390,49.8,85,0,No Failure
284,298.2,308.2,1469,43,88,0,No Failure
285,298.2,308.3,2051,19.2,90,0,No Failure
286,298.2,308.3,1568,36,92,0,No Failure
287,298.2,308.3,1589,33.2,94,0,No Failure
288,298.2,308.3,1805,31.6,96,0,No Failure
289,298.2,308.4,1385,42.2,98,0,No Failure
290,298.1,308.4,1436,46.7,103,0,No Failure
291,298.1,308.4,1438,45.6,105,0,No Failure
292,298,308.3,1473,42.6,107,0,No Failure
293,298.1,308.4,1335,40.2,109,0,No Failure
294,298.1,308.5,1392,44.8,111,0,No Failure
295,298.1,308.5,1372,51.1,116,0,No Failure
296,298.1,308.6,1716,30.7,119,0,No Failure
297,298,308.5,1395,46.2,122,0,No Failure
298,298,308.5,1713,25.3,124,0,No Failure
299,297.9,308.5,2129,18.7,126,0,No Failure
300,297.8,308.3,1567,35.6,131,0,No Failure
301,297.8,308.4,1622,38.3,134,0,No Failure
302,297.7,308.4,1740,27.1,136,0,No Failure
303,297.8,308.4,1512,35.1,138,0,No Failure
304,297.8,308.4,1479,43.5,143,0,No Failure
305,297.8,308.4,1737,27.5,146,0,No Failure
306,297.8,308.4,2129,19.2,148,0,No Failure
307,297.8,308.4,1374,47.1,150,0,No Failure
308,297.8,308.4,1579,36.6,152,0,No Failure
309,297.9,308.5,1305,47.2,155,0,No Failure
310,297.9,308.5,1449,40.8,157,0,No Failure
311,298,308.6,1526,41.8,160,0,No Failure
312,298,308.6,1453,44.1,165,0,No Failure
313,297.9,308.6,1468,36,168,0,No Failure
314,298,308.6,1313,50.8,170,0,No Failure
315,297.9,308.5,1300,53,172,0,No Failure
316,297.9,308.4,1646,40.6,175,0,No Failure
317,297.8,308.4,1714,33.2,177,0,No Failure
318,297.8,308.4,1685,28.4,179,0,No Failure
319,297.8,308.4,1512,39.9,181,0,No Failure
320,297.8,308.4,1612,32.1,183,0,No Failure
321,297.8,308.4,1550,38.2,185,0,No Failure
322,297.8,308.4,1518,32.5,190,0,No Failure
323,297.8,308.5,1448,40,192,0,No Failure
324,297.8,308.5,1561,46.3,194,0,No Failure
325,297.8,308.5,1488,41.9,196,0,No Failure
326,297.8,308.5,1699,27.8,199,0,No Failure
327,297.7,308.5,1501,41.4,201,0,No Failure
328,297.7,308.5,1373,56.7,203,1,Overstrain Failure
329,297.6,308.4,1703,31.4,205,0,No Failure
330,297.7,308.5,1720,29.9,210,0,No Failure
331,297.6,308.4,1398,41.9,215,0,No Failure
332,297.6,308.4,1391,51.9,218,0,No Failure
333,297.6,308.3,1538,40.2,0,0,No Failure
334,297.5,308.2,1647,31.3,3,0,No Failure
335,297.5,308.1,1469,44.8,5,0,No Failure
336,297.4,308.1,1749,25.9,8,0,No Failure
337,297.6,308.2,1995,20.5,10,0,No Failure
338,297.6,308.3,1742,27.7,13,0,No Failure
339,297.5,308.2,1563,38.2,15,0,No Failure
340,297.5,308.2,1713,32.2,17,0,No Failure
341,297.4,308.1,1474,39.4,20,0,No Failure
342,297.4,308.2,1530,32.6,22,0,No Failure
343,297.4,308.2,1471,46.5,25,0,No Failure
344,297.5,308.3,1388,48.6,27,0,No Failure
345,297.5,308.2,2448,13.8,29,0,No Failure
346,297.5,308.3,1585,32.9,32,0,No Failure
347,297.5,308.3,1459,45.2,34,0,No Failure
348,297.5,308.3,1544,40.8,37,0,No Failure
349,297.6,308.3,1617,31.7,39,0,No Failure
350,297.6,308.3,1595,34.3,41,0,No Failure
351,297.6,308.3,1400,44.3,43,0,No Failure
352,297.6,308.4,1611,31,48,0,No Failure
353,297.6,308.4,1507,46,51,0,No Failure
354,297.5,308.3,1674,30,54,0,No Failure
355,297.6,308.3,1658,34.3,59,0,No Failure
356,297.6,308.3,1623,36.9,61,0,No Failure
357,297.6,308.4,1398,48.9,63,0,No Failure
358,297.6,308.4,1517,34.2,66,0,No Failure
359,297.6,308.3,1467,36.7,68,0,No Failure
360,297.6,308.3,1567,34.6,71,0,No Failure
361,297.5,308.3,1521,38.2,74,0,No Failure
362,297.5,308.3,1596,36.8,77,0,No Failure
363,297.6,308.3,1640,30.9,79,0,No Failure
364,297.6,308.3,1438,47.8,84,0,No Failure
365,297.6,308.4,1407,55.2,86,0,No Failure
366,297.6,308.4,1353,57.5,88,0,No Failure
367,297.6,308.5,1552,40.9,90,0,No Failure
368,297.6,308.4,1569,38.3,93,0,No Failure
369,297.5,308.4,1489,39.5,96,0,No Failure
370,297.5,308.4,1587,36.1,98,0,No Failure
371,297.5,308.3,1622,37.2,103,0,No Failure
372,297.5,308.4,1604,38.1,106,0,No Failure
373,297.4,308.3,1405,51.7,108,0,No Failure
374,297.4,308.3,1412,42,111,0,No Failure
375,297.4,308.3,1431,43,113,0,No Failure
376,297.4,308.2,1533,37.4,115,0,No Failure
377,297.4,308.2,1401,51.9,117,0,No Failure
378,297.4,308.2,1424,53.9,120,0,No Failure
379,297.3,308.2,1754,29.4,123,0,No Failure
380,297.3,308.2,1754,26.8,125,0,No Failure
381,297.5,308.3,2564,12.8,127,1,Power Failure
382,297.5,308.5,1546,40.4,129,0,No Failure
383,297.5,308.5,1335,48,131,0,No Failure
384,297.5,308.6,1842,27,133,0,No Failure
385,297.5,308.5,1712,26.8,136,0,No Failure
386,297.6,308.6,1414,45.4,138,0,No Failure
387,297.6,308.7,1319,50.9,141,0,No Failure
388,297.7,308.7,1249,60.4,143,0,No Failure
389,297.6,308.7,1455,48.2,145,0,No Failure
390,297.6,308.7,1408,54.8,147,0,No Failure
391,297.6,308.7,1460,46.7,150,0,No Failure
392,297.6,308.6,1491,38.1,152,0,No Failure
393,297.6,308.5,1490,43.4,154,0,No Failure
394,297.5,308.4,1350,52.2,157,0,No Failure
395,297.5,308.4,1528,39.9,160,0,No Failure
396,297.4,308.3,1571,37.7,162,0,No Failure
397,297.4,308.3,1490,42.6,164,0,No Failure
398,297.4,308.3,1774,28.9,166,0,No Failure
399,297.4,308.3,1502,43.6,169,0,No Failure
400,297.4,308.4,1392,49.7,174,0,No Failure
401,297.4,308.5,2100,16.9,176,0,No Failure
402,297.5,308.5,1722,30.4,178,0,No Failure
403,297.4,308.6,1678,32.3,180,0,No Failure
404,297.3,308.6,1273,59.8,182,0,No Failure
405,297.3,308.6,1297,45.9,184,0,No Failure
406,297.3,308.5,1350,57.6,186,0,No Failure
407,297.4,308.6,1439,51.9,188,0,No Failure
408,297.4,308.5,1600,42.1,190,0,No Failure
409,297.4,308.6,1434,44.4,193,0,No Failure
410,297.4,308.6,1459,41.3,196,0,No Failure
411,297.5,308.6,1472,44.9,198,0,No Failure
412,297.5,308.7,1429,44.3,201,0,No Failure
413,297.5,308.6,1388,48.2,203,0,No Failure
414,297.4,308.4,1573,34.5,205,0,No Failure
415,297.4,308.4,1588,32.5,207,0,No Failure
416,297.5,308.4,1511,42.8,209,0,No Failure
417,297.4,308.5,1495,37.8,211,0,No Failure
418,297.4,308.4,1394,50.1,213,0,No Failure
419,297.4,308.4,2151,17.7,0,0,No Failure
420,297.3,308.3,1501,38.2,2,0,No Failure
421,297.3,308.3,1301,39.6,5,0,No Failure
422,297.3,308.3,1657,31.1,8,0,No Failure
423,297.3,308.3,1333,55.2,11,0,No Failure
424,297.3,308.3,1484,43.9,13,0,No Failure
425,297.3,308.4,1430,45.7,15,0,No Failure
426,297.3,308.4,1665,28.9,17,0,No Failure
427,297.4,308.5,1501,44.9,20,0,No Failure
428,297.5,308.5,1496,42.2,22,0,No Failure
429,297.6,308.6,1595,36.9,25,0,No Failure
430,297.5,308.6,1208,62.3,28,0,No Failure
431,297.5,308.6,1596,37.1,30,0,No Failure
432,297.5,308.5,1446,41.9,32,0,No Failure
433,297.6,308.5,1466,39.7,34,0,No Failure
434,297.6,308.5,1848,23.7,37,0,No Failure
435,297.5,308.5,1484,44.7,40,0,No Failure
436,297.4,308.3,1493,41.2,43,0,No Failure
437,297.3,308.3,1504,36.3,45,0,No Failure
438,297.3,308.3,1538,38.5,47,0,No Failure
439,297.4,308.4,1341,52.2,49,0,No Failure
440,297.4,308.3,1535,34.6,51,0,No Failure
441,297.4,308.5,1389,39.2,54,0,No Failure
442,297.5,308.5,1393,46.6,56,0,No Failure
443,297.4,308.5,1399,61.5,61,1,Power Failure
444,297.4,308.5,1469,45.1,63,0,No Failure
445,297.4,308.4,1582,37.2,68,0,No Failure
446,297.5,308.6,1793,26.7,70,0,No Failure
447,297.5,308.6,1452,39,72,0,No Failure
448,297.6,308.7,1376,59.9,74,0,No Failure
449,297.5,308.6,1552,44.9,77,0,No Failure
450,297.6,308.7,1622,37.9,79,0,No Failure
451,297.6,308.7,1419,41.7,81,0,No Failure
452,297.5,308.6,1440,46.1,84,0,No Failure
453,297.4,308.6,1643,31,89,0,No Failure
454,297.4,308.7,1510,36.2,92,0,No Failure
455,297.4,308.7,1468,46.6,94,0,No Failure
456,297.4,308.7,1429,57.4,96,0,No Failure
457,297.3,308.7,1478,47.6,98,0,No Failure
458,297.4,308.6,1276,53.6,103,0,No Failure
459,297.3,308.6,1486,42.6,105,0,No Failure
460,297.4,308.6,1476,42.3,107,0,No Failure
461,297.3,308.6,1431,42,109,0,No Failure
462,297.4,308.7,1402,40.2,114,0,No Failure
463,297.4,308.7,1433,43.4,116,0,No Failure
464,297.4,308.7,2874,4.2,118,1,Power Failure
465,297.3,308.6,1511,35.7,120,0,No Failure
466,297.3,308.6,1456,42.9,122,0,No Failure
467,297.2,308.5,1550,41.5,125,0,No Failure
468,297.2,308.5,2182,16.5,127,0,No Failure
469,297.3,308.7,1619,31.6,129,0,No Failure
470,297.3,308.8,1586,32.7,131,0,No Failure
471,297.3,308.8,1499,44.2,134,0,No Failure
472,297.3,308.8,1419,42.4,139,0,No Failure
473,297.4,309,1497,41.8,144,0,No Failure
474,297.4,309,1520,37,147,0,No Failure
475,297.4,309.1,1478,49.8,150,0,No Failure
476,297.4,309.1,1380,41.1,152,0,No Failure
477,297.4,309,1570,37.9,154,0,No Failure
478,297.4,309,1468,41.4,156,0,No Failure
479,297.4,309,1833,22.6,161,0,No Failure
480,297.4,308.9,1323,57.3,163,0,No Failure
481,297.4,309,1583,32,166,0,No Failure
482,297.3,309,1556,39.5,168,0,No Failure
483,297.3,309,1548,37.4,171,0,No Failure
484,297.4,309,1324,56.9,173,0,No Failure
485,297.4,309,1568,33.7,175,0,No Failure
486,297.4,309,1685,30.7,177,0,No Failure
487,297.4,309.1,1582,35.9,180,0,No Failure
488,297.4,309.1,1463,35,183,0,No Failure
489,297.4,309.2,1584,42.8,186,0,No Failure
490,297.5,309.2,1347,55.8,188,0,No Failure
491,297.4,309.2,1459,37.9,191,0,No Failure
492,297.4,309.2,1420,45.6,193,0,No Failure
493,297.5,309.3,1404,43.5,195,0,No Failure
494,297.5,309.3,1470,38.8,197,0,No Failure
495,297.6,309.4,1326,49.8,199,0,No Failure
496,297.5,309.3,1459,49.7,201,0,No Failure
497,297.5,309.2,1530,40,206,0,No Failure
498,297.4,309,1505,39.2,209,0,No Failure
499,297.5,309.1,1611,30.2,211,0,No Failure
500,297.5,309.1,1515,35.1,213,0,No Failure
501,297.5,309.2,1804,27.4,215,0,No Failure
502,297.6,309.3,1464,46.2,218,0,No Failure
503,297.6,309.2,1390,43.3,221,0,No Failure
504,297.6,309.2,1442,48.1,0,0,No Failure
505,297.6,309.3,1529,41.9,3,0,No Failure
506,297.6,309.3,1610,35,6,0,No Failure
507,297.6,309.3,1543,34.3,8,0,No Failure
508,297.8,309.4,1445,48.2,10,0,No Failure
509,297.7,309.3,1893,24.6,15,0,No Failure
510,297.6,309.3,1415,41.3,17,0,No Failure
511,297.5,309.3,1564,37.5,20,0,No Failure
512,297.5,309.3,1479,39.4,22,0,No Failure
513,297.5,309.2,1426,44.8,24,0,No Failure
514,297.4,309.2,1428,38.8,26,0,No Failure
515,297.4,309.2,1620,33.2,28,0,No Failure
516,297.5,309.2,1715,28,30,0,No Failure
517,297.5,309.3,1732,29.9,32,0,No Failure
518,297.5,309.4,1391,58.2,34,0,No Failure
519,297.6,309.5,1924,20.6,37,0,No Failure
520,297.7,309.5,2027,19.8,39,0,No Failure
521,297.6,309.5,1617,36.2,42,0,No Failure
522,297.5,309.4,1497,35.8,44,0,No Failure
523,297.5,309.5,1448,43.7,46,0,No Failure
524,297.4,309.4,1401,45.9,49,0,No Failure
525,297.4,309.4,1620,35.4,51,0,No Failure
526,297.4,309.4,1466,45.5,53,0,No Failure
527,297.6,309.5,1373,50.6,55,0,No Failure
528,297.6,309.6,1592,35.8,57,0,No Failure
529,297.5,309.5,1553,42.4,60,0,No Failure
530,297.6,309.5,1569,36.2,63,0,No Failure
531,297.6,309.5,1709,32.2,65,0,No Failure
532,297.6,309.5,1549,34.9,68,0,No Failure
533,297.5,309.4,1443,45.4,70,0,No Failure
534,297.5,309.3,1675,29.8,72,0,No Failure
535,297.5,309.3,1623,33.4,74,0,No Failure
536,297.4,309.3,1365,52.4,76,0,No Failure
537,297.4,309.3,1759,24.8,81,0,No Failure
538,297.4,309.3,1516,43,83,0,No Failure
